Désignation;Type de médicament;Laboratoire
A 313 200 000 UI POUR CENT  pommade;pommade;PHARMA DEVELOPPEMENT
A 313 50 000 U.I.  capsule molle;capsule molle;PHARMA DEVELOPPEMENT
ABACAVIR MYLAN 300 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;MYLAN SAS
ABACAVIR SANDOZ 300 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;SANDOZ
ABACAVIR/LAMIVUDINE BIOGARAN 600 mg/300 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
ABACAVIR/LAMIVUDINE EG 600 mg/300 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
ABACAVIR/LAMIVUDINE MYLAN 600 mg/300 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
ABACAVIR/LAMIVUDINE SANDOZ 600 mg/300 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
ABACAVIR/LAMIVUDINE ZENTIVA 600 mg/300 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA FRANCE
ABACAVIR/LAMIVUDINE/ZIDOVUDINE MYLAN 300 mg/150 mg/300 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
ABASAGLAR 100 unités/ml  solution injectable en cartouche;solution injectable;ELI LILLY NEDERLAND BV (PAY-BAS)
ABASAGLAR 100 unités/ml  solution injectable en stylo prérempli;solution injectable;ELI LILLY NEDERLAND BV (PAY-BAS)
ABELCET 5 mg/ml  suspension à diluer pour perfusion;suspension à diluer pour perfusion;ACINO FRANCE
ABELMOSCHUS BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ABIES CANADENSIS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ABIES NIGRA BOIRON  degré de dilution compris entre 2CH à 30CH et 4DH à 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ABIES PECTINATA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ABIES PECTINATA LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
ABIES PECTINATA WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes;WELEDA
ABILIFY 1 mg/ml  solution buvable;solution buvable;OTSUKA PHARMACEUTICAL NETHERLANDS (PAYS BAS)
ABILIFY 10 mg  comprimé;comprimé;OTSUKA PHARMACEUTICAL NETHERLANDS (PAYS BAS)
ABILIFY 10 mg  comprimé orodispersible;comprimé orodispersible;OTSUKA PHARMACEUTICAL NETHERLANDS (PAYS BAS)
ABILIFY 15 mg  comprimé;comprimé;OTSUKA PHARMACEUTICAL NETHERLANDS (PAYS BAS)
ABILIFY 15 mg  comprimé orodispersible;comprimé orodispersible;OTSUKA PHARMACEUTICAL NETHERLANDS (PAYS BAS)
ABILIFY 5 mg  comprimé;comprimé;OTSUKA PHARMACEUTICAL NETHERLANDS (PAYS BAS)
